"year","amo","est","mei","obs","r_abd","r_aer","r_fgs","r_o3","rfc_CH4","rfc_cloud","rfc_CO2","rfc_H2Os","rfc_N2O","rfc_solar","rfc_volc"
1860,-0.0151788936191617,0.00163279725277701,-0.0115975126989366,0.0310227272727272,0.00496075929737941,0.000429758120631246,9.50269148350336e-07,0.00980519239639776,0.00899988616152368,-0.0047792196638409,0.0169992151930009,0.00118934227596744,0.00204270571857036,0.0164720790660542,-0.0264281133669787
1861,0.0290534888728427,0.0494720476314727,-0.00708664104097519,0.152954545454545,0.00464228437109862,0.000437752165351336,8.6908258760725e-07,0.00890246384557954,0.00902183485931999,-0.00472971943281189,0.0168181745731312,0.0011802578099175,0.00214051510475823,0.0122940113255955,-0.0224561187931148
1862,0.035738188303804,0.0663216805516001,0.00546358236882647,0.224628787878788,0.00449454161322723,0.000463940283595641,8.01033430786307e-07,0.00826664012391652,0.00914575973109753,-0.00496449833118447,0.0166634910480479,0.00118727103923006,0.00222018554421541,0.00428948267956053,-0.0162311876406864
1863,0.0352690865893506,0.0511085363112374,-0.00674674691585543,0.178181818181818,0.0045038305281936,0.000521773976792025,7.42114582001083e-07,0.00795474121555927,0.0093202019832726,-0.00565844049796671,0.0164949939639188,0.00120611889166323,0.00228680615380313,-0.00410286462867481,-0.00851383419263842
1864,0.0168959361065914,0.0454263715603342,0.0048544320534198,0.209772727272727,0.00459626486660995,0.000598779260418145,6.90431612710625e-07,0.00785846271348827,0.00949919780527139,-0.00662627770435552,0.0162929302728536,0.00123262092083116,0.00233860699371499,-0.0105462974589175,0.000625890536662199
1865,0.0252420374429086,0.0534267766404346,-0.00103027825848469,0.260007575757576,0.00467590534190561,0.000655031853444677,6.45463431493221e-07,0.00779755343572036,0.00963330126393225,-0.00764362328236011,0.0160339596723778,0.00126256744778101,0.00237757574894087,-0.0142182766606363,0.0094778403371601
1866,0.027548454205638,0.0673915313902521,-3.5420704808684e-05,0.215969696969697,0.00463794696255451,0.000668319556547389,6.11802328931842e-07,0.00764347113405273,0.00966699599509553,-0.0084733423325932,0.0157673844146064,0.00129111761626327,0.00241161114169578,-0.0131030645216009,0.0197249758812842
1867,0.0224078812514193,0.0657572511366618,-0.00621345828134452,0.141128787878788,0.004449994715489,0.000635161808135576,5.77669509302988e-07,0.00738280248297012,0.00956621716833556,-0.00905086264266507,0.0155205822166145,0.00131297944631228,0.00244475630537813,-0.00718376338395707,0.0245861675275849
1868,-0.0257923199086703,0.00460417084076864,-0.0181372024765748,0.0110530303030301,0.00413564909637803,0.00055327266512762,5.50166135313406e-07,0.00707157362869026,0.0093300236211089,-0.00940269658702521,0.0153469027599725,0.00132359764189009,0.00247993803446942,-0.000159107748199978,0.0180353517838133
1869,-0.0507133484890086,-0.0338634994947801,-0.0247367510189319,-0.0363787878787879,0.00367872632458227,0.00045401571456044,5.26020725857463e-07,0.00669740775893909,0.00899431502613629,-0.00931255789846964,0.015289153367053,0.00132068433635989,0.00251243313413495,0.00408513085993462,0.00742203648610313
