"year","amo","est","mei","obs","r_abd","r_aer","r_fgs","r_o3","rfc_CH4","rfc_cloud","rfc_CO2","rfc_H2Os","rfc_N2O","rfc_solar","rfc_volc"
1871,-0.0355076000471371,-0.0352152861732991,-0.0257301810478762,-0.0515349153371211,0.00230536145792466,0.000191858257059019,4.55101228475047e-07,0.00552262435226793,0.00777679121390356,-0.00772119897727584,0.0148027171409191,0.00121468796501256,0.00243361750519531,0.00142796227334285,-0.00215456741976289
1872,0.0305156508935476,0.0725760768596109,0.0236379302537416,0.0756667789090905,0.00168965910899067,6.68940137697935e-05,4.34490961390191e-07,0.00518148600340622,0.00738493484249391,-0.00713513224663689,0.0151563005948749,0.00117962769888837,0.00244223443282614,-0.00480332788466985,-0.00244141162002105
1873,0.0827187482644252,0.173666015190599,0.079995714355575,0.20234394189697,0.00117101934673323,-6.55869090095952e-05,4.19860611400097e-07,0.0050179170910938,0.00704739426520882,-0.00686481280802883,0.0156353576081045,0.00113966841736014,0.00244011516989272,-0.0132121916404743,-0.00133808368292004
1874,0.0903074079701148,0.162682551738358,0.0686498417579417,0.176804524848485,0.000770407617179861,-0.00018090438517597,4.10712731728169e-07,0.00497381444831485,0.00679847337882777,-0.0069883459121278,0.0161992217362364,0.00109954071601167,0.00242731612718457,-0.0216601703352202,0.000101892470286943
1875,0.0813806974347066,0.141089129300547,0.0611847315350671,0.159147384219697,0.000468189760248018,-0.000295046204843117,4.01661863163244e-07,0.00495265549224146,0.00666122649576183,-0.00728549745703501,0.0167936597062231,0.00106334552773975,0.00240444681695359,-0.0272742455375829,0.000802483757702363
1876,0.0662033780233274,0.119001614516225,0.0542211237868868,0.16790091160606,0.000266289673553353,-0.000383051486102999,3.86537860380828e-07,0.00494469367965972,0.00662708186914151,-0.00767639327893053,0.0173854953983477,0.00103452741815567,0.00237050577675999,-0.0273975138474388,0.00116942103580325
1877,0.033057947470013,0.0881936750584521,0.0492848622167977,0.115977833009849,9.0299715416731e-05,-0.000462352495504702,3.7525460933008e-07,0.00481955960720729,0.00667078342969963,-0.00785333071365642,0.0179608160118304,0.00101483145590254,0.00232669006016954,-0.0216864560850213,0.00281966260798753
1878,-0.0384130818488117,0.000259156055593411,0.0433643048806799,0.0683296687060605,-0.000112582166335124,-0.000535768891405831,3.61022635738006e-07,0.00453911946818036,0.00676097761212817,-0.00766473121725103,0.0184866230850023,0.00100412514383433,0.00227730127480808,-0.0120746408356537,-0.015789134727059
1879,-0.105717038583656,-0.125169481173354,0.0316471262495369,-0.0624103544294695,-0.000275247694128295,-0.000555973390017922,3.47086335007072e-07,0.00431794070144753,0.00687927645616253,-0.00738544981965928,0.0189503496786967,0.00100136483796398,0.00222470460136005,-0.000277249918748848,-0.0732530717659595
1880,-0.138805124101411,-0.218941216545837,0.0214308379675041,-0.179235535098485,-0.000359293754283622,-0.000496271057179251,3.39814036502501e-07,0.0042358248636727,0.00702658454681536,-0.00701077540213461,0.0193850687794014,0.00100540474965877,0.00217108973645335,0.00881165493522248,-0.13314507082665
1881,-0.145954138534479,-0.275356368481334,-0.00588322880251292,-0.27419659710606,-0.00040531382563013,-0.000377131579442741,3.37621544938563e-07,0.00419244919926449,0.00719958703573357,-0.00655825426079437,0.0198326962789507,0.00101549099671216,0.00211885324309659,0.0150352402030174,-0.161488813617362
1882,-0.161112342934005,-0.342068930005598,-0.0597286764118159,-0.416193284615531,-0.000381566837932813,-0.000202043541641377,3.30307337297656e-07,0.00419234268563678,0.00738615545588465,-0.00643919397176191,0.0203223908990854,0.00103052064099555,0.00207033300749568,0.0165238702378398,-0.161277664657879
1883,-0.118638786596367,-0.239175879789353,-0.0185358716732394,-0.328527686287879,-0.000290539184696586,-3.06102378861619e-05,3.18797791258383e-07,0.00430888051217989,0.00757672038443721,-0.00687655018445582,0.0208795864850906,0.00104983198307432,0.00202406453660189,0.0136083597769416,-0.140336963998278
1884,-0.0544505767935815,-0.0721577848127138,0.0529257676878435,-0.106083558409091,-0.000157541199187648,0.000118389873083779,3.10719102211582e-07,0.00453024682294364,0.00776786995040521,-0.00776384702217996,0.0215001983479971,0.00107222418813532,0.00198208158413505,0.00679963359434284,-0.103955906393046
1885,-0.0611217159303213,-0.0929294461962268,0.00497691708235612,-0.131228316136363,-4.42221899708003e-05,0.0002334923852282,3.08246964135654e-07,0.00474497394346099,0.00796162890110248,-0.00892549558928614,0.0221781698773744,0.0010965055672266,0.0019437489026877,-0.00209990830517555,-0.0623569276814064
1886,-0.0479323577516668,-0.0632314733703296,-0.00961075236588485,-0.108084383915152,1.52362708317967e-05,0.00026200518166376,3.04721663007213e-07,0.00484797987437966,0.00816826898557478,-0.0100261724609314,0.0228887465111569,0.00112293404869457,0.00190842171553946,-0.0102771630328419,-0.0223431239077818
1887,-0.0508187245414883,-0.0274814539575028,-0.0104192741117069,-0.0762767189545454,1.72669674095113e-05,0.000218449991149651,3.05611329607811e-07,0.0048397830540931,0.00839026708409474,-0.0109138348358273,0.0236215373011827,0.00115132486421988,0.00187735246881898,-0.0143489638773456,0.0204543159839963
