"year","amo","est","mei","obs","r_ghg","r_othanthro","rfc_solar","rfc_volc"
1855,0.0715225809173433,0.0239681104807944,0.00109141405422616,0.025856884057971,-0.0656063674409396,-0.00918389721063978,0.000749104713867885,0.0233478567943502
1856,0.0193338880325499,-0.0130935021967566,0.0155654596317056,-0.092226449275362,-0.0626478220508601,-0.00708958731739758,-0.00428501489488079,0.0240693805785884
1857,0.00326602716066996,-0.0728508032481116,-0.0315473054695313,-0.233726449275362,-0.0598024280606542,-0.00543523616674219,-0.00560951125490929,0.0244629869900912
1858,-0.00807172475713794,-0.0305590540871036,0.0157794753904677,-0.030059782608696,-0.0570037833353958,-0.00408602335865378,-0.00377962615478169,0.0247046137771527
1859,0.0414369248706174,0.0150556446242244,0.00419684432337062,0.081856884057971,-0.0542560024568223,-0.00304801020091489,9.09373201745346e-05,0.0248672766881444
1860,0.0419244453379896,0.00941767212958738,-0.0130470948003996,-0.073976449275362,-0.0515215939203546,-0.00216863925666048,0.00727881977503333,0.0249847881253698
1861,0.0460670499971448,0.000240741064718386,-0.0280694678849367,-0.151393115942029,-0.0487466074880854,-0.00120615013662399,0.0137420814903386,0.0164399348752099
1862,-0.0529927225234539,-0.103771377318854,-0.0206403057716552,-0.249893115942029,-0.0460426587101202,-5.55365336327857e-05,0.015246660120517,9.37116391012717e-05
1863,-0.0135893056612161,-0.0557219625517376,-0.00929442391011873,-0.00864311594202899,-0.0432897191787226,0.00120211935146482,0.0130273031905448,-0.00431434619274373
1864,0.0352743291091658,0.0102874404652594,-0.000389376396085281,-0.041143115942029,-0.0405260576853335,0.00217401327606011,0.00935201912216459,0.00324863506240167
1865,0.052532235868248,0.0300875688965254,-0.00398979909033865,0.052773550724638,-0.0377492107997375,0.00277556104757642,0.00441806526718691,0.0107455938767118
1866,0.0588248900519814,0.0382992564007804,-0.00545469520221533,0.093106884057971,-0.0349124093609244,0.00327763581922132,4.98059378651449e-05,0.0152383549590162
1867,0.0363068806063668,0.0181936272519994,-0.00644619789243033,0.137690217391304,-0.0320490893829956,0.00360098308657492,-0.0022187163379897,0.0176554484942822
1868,0.0432445496474737,0.0278181261145974,-0.00878642720363723,0.093606884057971,-0.0291854228938934,0.00384437181259391,-0.0016464223765733,0.0191055947081921
1869,0.0254566491559312,0.0171636401301014,-0.00864107042375153,0.086356884057971,-0.0264293909481491,0.00418701254287902,0.00117048142837933,0.0200714298989726
1870,0.0315342983872067,0.000306333013237403,-0.0380949787246742,0.016356884057971,-0.0237585417041158,0.00453022015016532,0.00404488404328886,0.0207649051766909
1871,0.0156814424677847,0.0179329123456894,-0.0107255670814818,-0.017143115942029,-0.0211260463535,0.00486737703589112,0.00698753656004345,0.0212907142753645
1872,-0.0109216610745285,-0.00361327829228658,-0.00801478312271973,0.019356884057971,-0.0185445187653562,0.00498426821184922,0.00919182122643207,0.0189400171569502
1873,0.00182114168293946,-0.0112949062080136,-0.025559395267342,0.050190217391304,-0.0159618112381806,0.00486900945446012,0.00870305585028162,0.0141226641352578
1874,0.0167139939649857,-0.00131742789532457,-0.0284450409640022,0.002523550724638,-0.0132748714485459,0.00481098869904692,0.00481278284664487,0.0133484026124123
1875,0.0253717026257551,0.0143383360311024,-0.0220750542334008,-0.042143115942029,-0.0105195887908929,0.00482887920818382,-0.000312112781627186,0.016365884173038
1876,0.0215591240439709,0.0108158315293394,-0.0210864305904355,-0.045393115942029,-0.0077617577692428,0.00471425171267591,-0.00564928870271729,0.0188056320584333
1877,0.131054155407458,0.187551771959806,0.0479342651503121,0.332190217391304,-0.00498211204114959,0.00457532233140202,-0.0106427521773638,0.0200957730282821
1878,0.14143190368789,0.219651880571089,0.0708530393160063,0.423190217391304,-0.0021332600350417,0.00435389499600762,-0.0150806324671786,0.0208784292343547
1879,0.053767393647556,0.0418362487409744,-0.017923222193391,0.070940217391304,0.000747537911695309,0.00387196592557702,-0.0185047326054265,0.0204756516024793
1880,0.040064587252712,0.0325546564838464,-0.0137892429802891,0.00494021739130396,0.0037363907785973,0.00333475249455302,-0.0182981788707716,0.0181984985241577
1881,0.0216316719037961,0.0563190802353414,0.0213187241992103,0.120940217391304,0.0068162868642023,0.00289563963474582,-0.0121349622556515,0.0164094753314303
1882,-0.00174635735164974,0.0271375651462534,0.00356355193365667,0.053273550724638,0.00995455955285331,0.00249930939019172,-0.00440602198678519,0.0172067906618554
1883,-0.0595251790003468,-0.0606849705345476,0.00161219210052133,-0.00039311594202901,0.0130786361070103,0.00224316762045561,-6.31144495130253e-05,-0.017021388533299
1884,-0.0751630299673112,-0.128577936655446,0.0154262436784728,-0.167393115942029,0.0162529936513843,0.00238298786250392,0.00282281468985676,-0.0878786279985064
1885,-0.031459514055917,-0.0903371104670906,0.0294591626352588,-0.135643115942029,0.0194919478403243,0.00286558148671222,0.00333783368886297,-0.111416935368423
1886,0.00686887804403166,-0.0466776835494416,0.00636319332235232,-0.160309782608696,0.0228754398506793,0.00299796965702722,-0.000292192442364945,-0.0834764286247254
1887,-0.0102740075901374,-0.0751239122503776,-0.0310835399628659,-0.196643115942029,0.0263469003998553,0.00236516399039872,-0.00535829866002139,-0.0555192165464283
1888,-0.018386685221078,0.000808007425112389,0.0343545626025759,0.00977355072463798,0.0299680637416033,0.00134075157662752,-0.0100380114537247,-0.0352050740436013
1889,-0.0118790260848867,0.0389291965467134,0.0519933126047493,0.131523550724638,0.0337347187875293,0.000346690696874916,-0.0139883559008094,-0.0199968441730105
1890,-0.0967484717432693,-0.129160831240862,-0.0340437508898415,-0.157393115942029,0.0375505175445953,-0.00057700649271128,-0.015308814298807,-0.0187209235173548
1891,-0.0657302480268865,-0.0578958603807186,0.0105178116349875,-0.040893115942029,0.0414564912146713,-0.00132857975290438,-0.0137137748563647,-0.0278699272646521
1892,-0.100933549667513,-0.0996143849454906,-0.00496450769794524,-0.101893115942029,0.0454014241443773,-0.00185187072410738,-0.00920920093060129,-0.0266305650002778
1893,-0.0548649792790823,-0.0613805639317806,-0.0386721009004758,-0.076726449275362,0.0493438478489623,-0.00258297930326698,0.00190622264925069,-0.0155286659616444
1894,-0.114148835594984,-0.0765260133573216,-0.0200427184119147,-0.070726449275362,0.0532150902175023,-0.00360835509736188,0.0162178750216526,-0.00686358505391883
1895,-0.0876457158802156,-0.0165845945373716,-0.00282081474382205,-0.010226449275362,0.0570284321742233,-0.00471738051411828,0.0246120167319342,-0.00182656819657343
1896,-0.0162065611017626,0.0899554966726114,0.0298863789573687,0.078856884057971,0.0607053007901683,-0.00584754451044088,0.0203852236334936,0.00148001736262997
1897,-0.0354994962605099,0.0765353114846304,0.0423992060338453,0.094606884057971,0.0643235770665703,-0.00708520645871479,0.00911287166343376,0.00386245519106597
1898,-0.0412471194144145,0.0153951381633894,-0.0100011527786549,-0.107726449275362,0.0680158029874113,-0.00854663481102168,0.00221334224979159,0.00566577585001217
1899,-0.0297943463716934,0.0393531995662144,0.00340038250311979,0.062273550724638,0.0718935936851513,-0.0102927262669426,-0.00147982256404884,0.00708167195921547
1900,-0.0458622072435733,0.0748333801746964,0.05793324451615,0.169523550724638,0.0758935186996463,-0.0120285249588648,-0.00745400079812769,0.00824073167394527
1901,-0.0503198006827309,0.0213934235121384,0.0118005434013823,0.092606884057971,0.0799809459356513,-0.0134368731328343,-0.0139425028907931,0.00921503931524047
