"year","amo","est","mei","obs","r_ghg","r_othanthro","rfc_solar","rfc_volc"
1860,-0.0151788936191617,0.00163279725277701,-0.0115975126989366,0.0310227272727272,0.0276871358552894,0.0114597937942112,0.0164720790660542,-0.0264281133669787
1861,0.0290534888728427,0.0494720476314727,-0.00708664104097519,0.152954545454545,0.027685660203821,0.010297227784818,0.0122940113255955,-0.0224561187931148
1862,0.035738188303804,0.0663216805516001,0.00546358236882647,0.224628787878788,0.0277688307826165,0.00933170820129296,0.00428948267956053,-0.0162311876406864
1863,0.0352690865893506,0.0511085363112374,-0.00674674691585543,0.178181818181818,0.0278725452632628,0.00843888416298241,-0.00410286462867481,-0.00851383419263842
1864,0.0168959361065914,0.0454263715603342,0.0048544320534198,0.209772727272727,0.0279291833726582,0.0075922584891991,-0.0105462974589175,0.000625890536662199
1865,0.0252420374429086,0.0534267766404346,-0.00103027825848469,0.260007575757576,0.027868289566004,0.00669674983075226,-0.0142182766606363,0.0094778403371601
1866,0.027548454205638,0.0673915313902521,-3.5420704808684e-05,0.215969696969697,0.0276771260917378,0.00572277889413595,-0.0131030645216009,0.0197249758812842
1867,0.0224078812514193,0.0657572511366618,-0.00621345828134452,0.141128787878788,0.0273828449008431,0.0046951652229557,-0.00718376338395707,0.0245861675275849
1868,-0.0257923199086703,0.00460417084076864,-0.0181372024765748,0.0110530303030301,0.0270301323347613,0.00365030443870461,-0.000159107748199978,0.0180353517838133
1869,-0.0507133484890086,-0.0338634994947801,-0.0247367510189319,-0.0363787878787879,0.0266787012780554,0.00280351416915645,0.00408513085993462,0.00742203648610313
1870,-0.0478010086784436,-0.0347713009047952,-0.0218425872166444,-0.122856060606061,0.0263915868216496,0.00213919971975574,0.00501393301409064,0.000842579193280696
1871,-0.0363080166743347,-0.0268387966550438,-0.0184914906973913,-0.159492424242424,0.026223813778864,0.00147917720331318,0.00167093438383365,-0.00175543992550954
1872,0.031203538397421,0.0676140921114911,0.0169878543248231,0.00642424242424249,0.026186803844376,0.000889736456926905,-0.00534638557753477,-0.00198290703240022
1873,0.084583404321267,0.152642778794296,0.0574904624683698,0.216287878787879,0.0263366256518145,0.000269406344797503,-0.01471837239677,-0.00107978297957834
1874,0.0923431285145174,0.14373849442598,0.0493365323734923,0.216037878787879,0.0266535233630372,-0.000564898479815348,-0.0241721617080745,8.2188253205952e-05
1875,0.0832151909874445,0.123211849971645,0.0439715869817583,0.183893939393939,0.0271110043266658,-0.00140452571406563,-0.0304434451449716,0.000651219008215407
1876,0.0676957426009437,0.102641604455221,0.0389670560126151,0.173696969696969,0.0276677227570728,-0.00215539851771894,-0.0306112197479363,0.000948468077943818
1877,0.0338031437316836,0.0728099653228909,0.0354195164623356,0.104962121212121,0.0282712370007715,-0.00276610687987735,-0.0242442022287645,0.00228591335316542
1878,-0.0392789941992064,-0.00973310596051659,0.0311645937822159,0.0253409090909091,0.0288725309750191,-0.00321067816683259,-0.0135129650391917,-0.0128223536901823
1879,-0.108100124890478,-0.121262107114485,0.0227438174474401,-0.111575757575757,0.0294440289361196,-0.00336530953069659,-0.000328561987973264,-0.0594753532835652
1880,-0.141934086045431,-0.20021337397782,0.0154016848997692,-0.240280303030303,0.0300130959419131,-0.00306861382063147,0.00996942192710313,-0.10801297862141
1881,-0.149244254428997,-0.242786020886343,-0.0042280958097367,-0.392,0.0306243487329755,-0.00247592824619104,0.0168838951220421,-0.130992635429418
1882,-0.164744156910729,-0.294317665582005,-0.0429251648941565,-0.551265151515152,0.0313016927587536,-0.00213836715260743,0.018562284282396,-0.13073526793081
1883,-0.121313156514249,-0.206440821669775,-0.013321161556383,-0.396999999999999,0.0320448661765541,-0.00219564405625872,0.015335671196886,-0.113682510148847
1884,-0.0556780083003074,-0.0660579358071302,0.0380361233770966,-0.108446969696969,0.0328605854962301,-0.00256662383851915,0.0077106633523076,-0.084193863044056
1885,-0.062499529064651,-0.0826650800134807,0.00357675741802341,-0.116840909090909,0.0337394522888957,-0.00326660112684499,-0.00238123912511316,-0.0505299929647349
1886,-0.049012854774115,-0.0566770592349117,-0.00690695248657645,-0.0875227272727272,0.0346673294221815,-0.00416679845599246,-0.011483728154262,-0.0180408848672237
1887,-0.0519642863942178,-0.0295952045509525,-0.00748801222780753,-0.0184924242424243,0.0356295668057291,-0.0051396469301984,-0.0160175840537009,0.0165526868357401
1888,-0.0355848181978856,0.0138504870170446,-0.0306859599425676,0.0453257575757578,0.0365875565252238,-0.006246185409492,-0.0115906749039435,0.0603845885780979
1889,-0.0728393126873954,0.0106613960264095,-0.0426407798138617,0.0944166666666671,0.0374400930916384,-0.00749790702187289,0.00136179880754446,0.0935596069609001
1890,-0.101610884507206,0.000229193882401651,-0.0372638962014642,0.0863106060606066,0.0380946605362718,-0.00860071295543408,0.0178746549341984,0.0890750819652761
1891,-0.0729370422112397,0.04888284340588,-0.00770696343734262,0.121727272727273,0.0384956271756507,-0.00927298684015933,0.0310198674652318,0.0651644519586204
1892,-0.033512952292383,0.0970577562721276,0.0149009787070366,0.131348484848485,0.0386409504963177,-0.00961309156166583,0.0354205039348303,0.0474513242346221
1893,-0.00220041285261683,0.0904895944156274,-0.0100109161017935,0.00600757575757565,0.0386085498969355,-0.0100489311380252,0.0331167323850515,0.0380655691607365
1894,0.0327085730646254,0.128021241330533,0.00494572587276836,0.0624469696969691,0.0385332198035857,-0.0108937116323218,0.0257551467184965,0.0349926620429534
1895,0.064900678218992,0.199670713888549,0.0571251851362075,0.229272727272728,0.0385123666193175,-0.0119957960028441,0.0126314025982597,0.0369237836418092
