"year","amo","est","mei","obs","r_ghg","r_othanthro","rfc_solar","rfc_volc"
1860,-0.0148442722339118,-0.0131034548644423,-0.0161374821712335,-0.0810594666060601,0.0262167683828411,0.0108802356007522,0.0147035764558871,-0.0325917330191548
1861,0.0284129995897043,0.0375576879447967,-0.00986078191258672,-0.00827106792803028,0.0262528975026532,0.00977832676797874,0.0109494423691944,-0.0277240196281593
1862,0.0349503336434722,0.0615863748822344,0.00760235969184038,0.0439030509318182,0.0263737255789331,0.00886549843951138,0.00380690066910972,-0.0200380837198944
1863,0.0344915733589972,0.0446448134697365,-0.00938783262366467,0.0217833167916667,0.0264889295812483,0.00800722319174919,-0.00362988299698265,-0.010504071724358
1864,0.0165234622170621,0.0469280851476773,0.00675475101835489,0.0587909366893937,0.0265397542621125,0.00720669219386858,-0.00942788749826106,0.000791805848417368
1865,0.0246855722783454,0.0551315837799396,-0.0014335916208336,0.125830629507576,0.0264849917764617,0.00635814494811631,-0.0127226947558521,0.0116955438172371
1866,0.0269411436770139,0.0718536490317919,-4.92865157539801e-05,0.128462908121213,0.0263077707487226,0.00543791018788374,-0.011704910814858,0.0243343196696214
1867,0.0219138955596428,0.068139041801521,-0.0086457824914556,0.121811527096591,0.0260324629869692,0.00446107219548787,-0.00639186404625192,0.0303588345198863
1868,-0.0252237236701573,0.000768130463702894,-0.0252372029416803,0.0468489599909095,0.0256983840890631,0.00346417431241764,-9.57958195927825e-05,0.0222824641665417
1869,-0.0495953637828884,-0.0425801642133294,-0.0344202148257926,0.0417107542011364,0.0253686659296673,0.00266111962063859,0.00362384485234834,0.00917195250722841
1870,-0.0467472270167731,-0.0439364423039787,-0.0303930998768841,-0.0258674718939395,0.0251031082038328,0.00202961353997648,0.00446804954160414,0.00104970017152161
1871,-0.0355076000471371,-0.0352152861732991,-0.0257301810478762,-0.0515349153371211,0.0249401975219668,0.00140538411684866,0.00142796227334285,-0.00215456741976289
1872,0.0305156508935476,0.0725760768596109,0.0236379302537416,0.0756667789090905,0.0249163858228814,0.000843574529250247,-0.00480332788466985,-0.00244141162002105
1873,0.0827187482644252,0.173666015190599,0.079995714355575,0.20234394189697,0.025057011290574,0.000255655419896261,-0.0132121916404743,-0.00133808368292004
1874,0.0903074079701148,0.162682551738358,0.0686498417579417,0.176804524848485,0.025360867184865,-0.000535876339459989,-0.0216601703352202,0.000101892470286943
1875,0.0813806974347066,0.141089129300547,0.0611847315350671,0.159147384219697,0.0257952715732205,-0.00133365229652918,-0.0272742455375829,0.000802483757702363
1876,0.0662033780233274,0.119001614516225,0.0542211237868868,0.16790091160606,0.0263247877793607,-0.00204684787961797,-0.0273975138474388,0.00116942103580325
1877,0.033057947470013,0.0881936750584521,0.0492848622167977,0.115977833009849,0.0269038215413676,-0.0026280467062458,-0.0216864560850213,0.00281966260798753
1878,-0.0384130818488117,0.000259156055593411,0.0433643048806799,0.0683296687060605,0.0274648650345141,-0.00304746585034775,-0.0120746408356537,-0.015789134727059
1879,-0.105717038583656,-0.125169481173354,0.0316471262495369,-0.0624103544294695,0.0279992137432267,-0.00318810626768005,-0.000277249918748848,-0.0732530717659595
1880,-0.138805124101411,-0.218941216545837,0.0214308379675041,-0.179235535098485,0.0285355885975069,-0.00291545463958114,0.00881165493522248,-0.13314507082665
1881,-0.145954138534479,-0.275356368481334,-0.00588322880251292,-0.27419659710606,0.0291105015924796,-0.00235697080144576,0.0150352402030174,-0.161488813617362
1882,-0.161112342934005,-0.342068930005598,-0.0597286764118159,-0.416193284615531,0.0297376102580504,-0.00203264871370771,0.0165238702378398,-0.161277664657879
1883,-0.118638786596367,-0.239175879789353,-0.0185358716732394,-0.328527686287879,0.0304303532391814,-0.00208757663401874,0.0136083597769416,-0.140336963998278
1884,-0.0544505767935815,-0.0721577848127138,0.0529257676878435,-0.106083558409091,0.0311951102455588,-0.00243197899256004,0.00679963359434284,-0.103955906393046
1885,-0.0611217159303213,-0.0929294461962268,0.00497691708235612,-0.131228316136363,0.0320098862698828,-0.0031032113002328,-0.00209990830517555,-0.0623569276814064
1886,-0.0479323577516668,-0.0632314733703296,-0.00961075236588485,-0.108084383915152,0.0328820026787249,-0.00396143995704605,-0.0102771630328419,-0.0223431239077818
1887,-0.0508187245414883,-0.0274814539575028,-0.0104192741117069,-0.0762767189545454,0.0337961519536698,-0.00488303954718309,-0.0143489638773456,0.0204543159839963
1888,-0.0348003446085716,0.0164165057188622,-0.0426983047430313,-0.0425604872666668,0.0347005339686133,-0.00593400967525616,-0.0103729128837826,0.0744954912356992
1889,-0.0712335572006232,0.0157701725361591,-0.0593329657726334,-0.0205908553333334,0.0355064507211266,-0.00711364964479036,0.00119206068783092,0.115502072224445
1890,-0.0993708546484194,0.00553525852427094,-0.0518512439858732,-0.0477067010416667,0.0361296662692478,-0.00816367407167314,0.0160272417275082,0.110048696511848
