"year","amo","est","mei","obs","r_abd","r_aer","r_fgs","r_o3","rfc_CH4","rfc_cloud","rfc_CO2","rfc_H2Os","rfc_N2O","rfc_solar","rfc_volc"
1920,-0.176174076471835,0.00531536490568107,0.0394783460541573,-0.0592706462989128,-0.00148159373168074,-0.00372878486016177,5.41060102556696e-05,0.0195536795731148,0.0391555709215521,-0.0543321163466306,0.101830733992993,0.00553597776610852,0.0122408396475154,0.0181877332024865,0.00265119048609056
1921,-0.122115659423489,0.00828472320430806,-0.0126793007883842,0.00494303703442023,-0.00193265007411224,-0.00382320570950887,6.14241840600094e-05,0.0199870632009805,0.0406437564856203,-0.0538468581828216,0.10499929825687,0.00573409775718201,0.0125054839925079,0.0129879978956376,0.00325158745830936
1922,-0.178140036760632,-0.026331762561528,0.0109776031232289,-0.0644423796322467,-0.00228819538733074,-0.00402715122065304,6.9535721011934e-05,0.0205358319128559,0.0421290007303687,-0.0540653202104039,0.108046189607864,0.00593956209599611,0.0127819273322229,0.00703272856202636,0.00212693888952206
1923,-0.190447323504495,-0.051730090756362,0.00153847174324865,-0.0754989712989127,-0.00237927101167914,-0.00437719432217026,7.93340849727582e-05,0.0212871859064452,0.0435643917965907,-0.0556761858048854,0.111035717999392,0.00614931359556061,0.0130853586404023,0.00176500855848716,0.000659820558218362
1924,-0.148239924990472,0.00622071711049904,0.0157528639106452,-0.0557192212989127,-0.00259486775471874,-0.00472908040733758,9.07945885962535e-05,0.0218562651804284,0.0448892942451216,-0.0568435813005077,0.113952919987761,0.00635817968944951,0.0133741566268674,-0.00077754149656404,0.00168967039819396
1925,-0.140005446274841,-0.0132518847359049,-0.0179992594794923,-0.0320051712989128,-0.00297813424912104,-0.0051415920001786,0.000104133363128876,0.0222928919052948,0.0460652115813623,-0.0573946376288616,0.116571792243162,0.00656100207464091,0.0136257634253594,-0.000172503818727291,0.00354436677874256
1926,-0.0646151958647141,0.138693435098377,0.0506874573762471,0.100534570367753,-0.00334082381584714,-0.00563089013361896,0.000119043588537678,0.0227997273571565,0.0471074413286943,-0.0580813397296017,0.119065647386226,0.00675322609187061,0.0138502596964159,0.00333186917792362,0.00459463496170316
1927,-0.0432129187776137,0.108855960899518,-0.0100483775979393,0.00271094536775324,-0.00367010637351704,-0.00619140019639475,0.000134810659078267,0.0234336359631389,0.0481291717523165,-0.059027065488848,0.121438693584343,0.00693486202359301,0.01405943456329,0.00911383514616267,0.00528149703197386
1928,-0.103977703528486,0.081656460601593,0.0170920537854606,0.0144984870344202,-0.00399931058946924,-0.00680741334043778,0.000152595886293985,0.0241082080431567,0.0492305935610534,-0.0600478830426081,0.123706026836329,0.00710910688973291,0.0142661306409985,0.0143709265453892,0.00397713244648576
1929,-0.131296280415825,0.053868047597002,0.0107207208316204,-0.144662904632247,-0.00430747343353144,-0.00739552080113791,0.000174047356746871,0.0248705566574632,0.0504533434563045,-0.0610561108274407,0.125863477038554,0.00728299456939921,0.0144659532617472,0.0196727723290161,0.00174842688188536
1930,-0.0961994930223955,0.122850780939073,0.0375459302891096,0.0599106787010872,-0.00477964615594634,-0.00769704569646293,0.000199588055747598,0.0254644656441304,0.0517216908724727,-0.0609804319298611,0.127974488936825,0.00745954247459411,0.0146684736169669,0.0221941490353913,0.00248954895962626
1931,-0.0239695142214208,0.218565628777999,0.0583787751917163,0.12307723703442,-0.00553551356188034,-0.00765890725109014,0.00022897603822132,0.0256946546931804,0.0529816785221766,-0.0592888176085973,0.130113127541381,0.00764036523883871,0.0148861332239417,0.0179529379566545,0.00443831943946926
1932,-0.000723745362314593,0.19040555180528,0.00862466707388969,0.0474037453677533,-0.00629693334007864,-0.00755126453945651,0.000261467984004278,0.0259090115042943,0.0542156162875377,-0.057587014637484,0.132376442830157,0.00782295529019812,0.015111046956385,0.011400544814298,0.00433766333395816
