"year","c2f6","c3f8","c4f10","c5f12","c6f14","cc4f8","ccl4","cf4","cfc11","cfc113","cfc114","cfc115","cfc12","ch3br","ch3ccl3","ch3cl","halon1202","halon1211","halon1301","halon2402","hcfc141b","hcfc142b","hcfc22","hfc125","hfc134a","hfc143a","hfc152a","hfc227ea","hfc23","hfc236fa","hfc245fa","hfc32","hfc365mfc","hfc4310mee","nf3","r_fgs","sf6"
1940,1.49708233042125e-05,4.9228226282593e-07,0,0,0,0,0.000681264331666779,4.91082396773049e-05,0,3.71596621880407e-05,7.15764566146855e-07,0,0,3.72823884623178e-07,0,0,0,2.27841223168601e-07,0,0,0,0,1.48358229326579e-05,0,0,0,0,0,8.69884760167031e-08,0,0,0,0,0,0,0.000799222960321922,0
1941,1.64180595056751e-05,5.44048987812325e-07,0,0,0,0,0.000769029790959411,5.4177001060297e-05,0,4.22192745774233e-05,2.51773999522567e-06,0,0,4.26552248235389e-07,0,0,0,4.65984067473586e-07,0,0,0,0,1.85433617917313e-05,0,0,0,0,0,8.96952288884049e-08,0,0,0,0,0,0,0.000904462339307405,0
1942,1.81217010324721e-05,6.02054495098028e-07,0,0,0,0,0.000872375467111896,6.02209915541519e-05,0,4.74001481205168e-05,5.98455228048955e-06,0,0,4.81998872359825e-07,0,2.9948864100767e-07,0,8.23847701762237e-07,0,0,0,0,2.24023431062818e-05,0,0,0,0,0,9.16937397187706e-08,0,0,0,0,0,0,0.00102880831283595,0
1943,2.02045151768015e-05,6.80020249267554e-07,0,0,0,0,0.000994127156126597,6.77476606524205e-05,0,5.26873971787312e-05,1.13692388572475e-05,0,2.01936787971043e-07,5.38096887439463e-07,0,1.94356548623059e-06,0,1.20930966570942e-06,0,0,0,0,2.63984510534906e-05,0,0,0,0,0,9.36744456601859e-08,0,0,0,0,0,0,0.00117722433917831,0
1944,2.26105340444581e-05,7.70213259189106e-07,0,0,0,0,0.00112780683775502,7.65918578485503e-05,4.21778298961038e-08,5.80831498930472e-05,1.88533223131646e-05,0,4.83301145321994e-06,5.92875770209841e-07,0,5.64458527824467e-06,0,1.58104191809857e-06,0,0,0,0,3.05214025216204e-05,0,0,0,0,0,9.67643623553843e-08,0,0,0,0,0,0,0.00134808813163339,0
1945,2.49243059392475e-05,8.58626558950739e-07,0,0,0,0,0.00125819704715272,8.52165891973971e-05,7.98268511174016e-07,6.35667993658409e-05,2.85590577253424e-05,0,2.79693699945529e-05,6.5092938233e-07,0,1.08512694273748e-05,0,1.91220919065294e-06,0,0,0,0,3.47494480531932e-05,0,0,0,0,0,1.04175677392394e-07,0,0,0,0,0,0,0.00153850976998659,0
1946,2.68317778739867e-05,9.32556701255674e-07,0,0,0,0,0.00137894730494097,9.24154316788829e-05,4.31880389683401e-06,6.91366574819346e-05,4.05944205555206e-05,0,8.06225394131606e-05,7.10501605304957e-07,0,1.68967360107069e-05,0,2.17837773948082e-06,0,0,0,0,3.90859560990541e-05,0,0,0,0,0,1.20978883210325e-07,0,0,0,0,0,0,0.00175303051384544,0
1947,2.84753539614258e-05,9.96205809930855e-07,0,0,0,0,0.00149565070426931,9.86850776507804e-05,1.1974138468711e-05,7.47864631658064e-05,5.50743830823684e-05,0,0.000156909356529786,7.69520083510738e-07,0,2.35182029790641e-05,0,2.37825915947121e-06,0,0,0,0,4.35160959027736e-05,0,0,0,0,0,1.31345704330292e-07,0,0,0,0,0,0,0.0019931998067314,0
1948,3.00823701631632e-05,1.06289243145891e-06,0,0,0,0,0.00161594926668889,0.000104909993381964,2.27275879586161e-05,8.05192918175284e-05,7.1855953186037e-05,0,0.000247263565664646,8.30859659980225e-07,0,3.05849242183706e-05,0,2.52304480850895e-06,0,0,0,0,4.80311566136541e-05,0,0,0,0,0,1.42293790529918e-07,0,0,0,0,0,0,0.00225680208208347,0
1949,3.16988707439881e-05,1.13060331540192e-06,0,0,0,0,0.00174364244915681,0.000111325312308939,3.52129404521482e-05,8.6331430031736e-05,9.0538908009835e-05,0,0.000346753755375858,8.91650445172104e-07,0,3.79933839456865e-05,0,2.61039756132324e-06,0,0,0,0,5.26792597943866e-05,0,0,0,0,0,1.60567127630741e-07,0,0,0,0,0,0,0.00254088676840962,4.32984432265361e-08
1950,3.32938191494059e-05,1.19809913221566e-06,0,0,0,0,0.00187729271995307,0.000117813537326196,4.92794368783925e-05,9.22057077269992e-05,0.000110961405655374,0,0.000455042639153222,9.53510274067886e-07,0,4.57185903885686e-05,0,2.63255516293065e-06,0,0,0,0,5.71130989108405e-05,0,0,0,0,0,1.9113760601032e-07,0,0,0,0,0,0,0.00284331645081092,1.9941487821021e-07
1951,3.48745531299547e-05,1.26997487989245e-06,0,0,0,0,0.00200779567487394,0.000124441155300011,6.6686886699374e-05,9.8190333612504e-05,0.000133126964978588,0,0.000576911041677789,1.01954329212601e-06,0,5.38647189342711e-05,0,2.61410099340689e-06,0,0,0,0,6.05712526233098e-05,0,0,0,0,0,3.36894561186084e-07,0,0,0,0,0,0,0.00316175091689495,6.085845066943e-07
1952,3.64604379437733e-05,1.34305310577778e-06,0,0,0,0,0.00212784877239308,0.000131331682373645,9.047146623524e-05,0.000104411529970209,0.000156696849905345,0,0.000716401703772137,1.08303535660885e-06,0,6.25741648435188e-05,0,2.57153880509796e-06,0,0,0,0,6.30239903277041e-05,0,0,0,0,0,7.4222221868205e-07,0,0,3.50480818130692e-08,0,0,0,0.00349570819939479,1.41197955581413e-06
1953,3.80515938587255e-05,1.42017450718412e-06,0,0,0,0,0.0022413739263953,0.000138528488675527,0.000123192759714187,0.000111009471738834,0.0001814399559428,0,0.000874019781007826,1.14858021317068e-06,4.28553730480239e-08,7.22932389135371e-05,0,2.51250245922079e-06,0,0,0,0,6.52961937376423e-05,0,0,0,0,0,1.52930200305686e-06,0,0,0,0,0,0,0.00385363266639419,2.55239517494686e-06
1954,3.96425013206726e-05,1.50246248184805e-06,0,0,0,0,0.0023551952078402,0.000146046135937239,0.000166404729573221,0.000118202677231643,0.000207133306220694,0,0.00105133603444673,1.21744930516003e-06,3.4432071115458e-07,8.36534588893639e-05,0,2.44325908806889e-06,0,0,0,0,6.83178253507082e-05,0,0,0,0,0,2.76278139538557e-06,0,0,0,0,0,0,0.00424686593163536,3.90898737654345e-06
1955,4.12152367931902e-05,1.58795434300264e-06,0,0,0,0,0.0024719235185209,0.0001538519424361,0.000221751143281705,0.000126262537862992,0.000233632499497396,0,0.00125185479898007,1.28839907990756e-06,1.34111186056789e-06,9.6293254104016e-05,0,2.36768040667038e-06,0,0,0,0,7.28711440120292e-05,0,0,0,0,0,4.47436482265038e-06,0,0,0,0,0,0,0.00468447168495712,5.40729981216695e-06
1956,4.27373905523249e-05,1.67212495496785e-06,0,0,0,0,0.00259308420106459,0.000161810827494653,0.000291162815090499,0.000135257718746704,0.000260703297072928,0,0.00148050654084842,1.36082766039965e-06,3.47064287000018e-06,0.000109241084013868,0,2.28814190401529e-06,0,0,0,0,7.92787866233325e-05,0,0,0,0,0,6.6848075019527e-06,0,0,3.58881776593281e-08,0,0,0,0.00517441501537309,7.00869350590232e-06
1957,4.41855729861327e-05,1.7563411568351e-06,0,0,0,0,0.00271940473355973,0.000169791397087161,0.000374132751650699,0.000145393940739023,0.000288173315337967,0,0.00174036703514331,1.43279856294454e-06,6.92022051103847e-06,0.000122267631378527,0,2.21237715221874e-06,0,0,0,0,8.78662661040205e-05,0,0,0,0,0,9.40704619537275e-06,0,0,3.44421706796342e-08,0,0,0,0.00572005499033265,8.69403518316826e-06
1958,4.55376510971273e-05,1.8372718983945e-06,0,0,0,0,0.00285149428034502,0.00017764613937369,0.000466207993841212,0.000156934953202566,0.000315845277419553,0,0.00203093734163249,1.50514234410094e-06,1.16102792308157e-05,0.000135560198316254,0,2.14071068982372e-06,0,0,0,0,9.94875054153479e-05,0,0,0,0,0,1.26524085719381e-05,0,0,0,0,0,0,0.00631795310512504,1.04488758342335e-05
1959,4.68209241456609e-05,1.91573152613041e-06,0,0,0,0,0.00298995488563305,0.00018545866262793,0.000564736029606946,0.000170083536218339,0.00034332093036895,0,0.0023537383635806,1.57951897748935e-06,1.75579287187545e-05,0.00014916162691433,0,2.06895604260494e-06,0,0,0,0,0.000114574508629326,0,0,0,0,0,1.64313672392464e-05,0,0,0,0,0,0,0.00696769818532021,1.22666178416912e-05
1960,4.80585476351699e-05,1.99347870396766e-06,0,0,0,0,0.00313450173742242,0.000193414121380466,0.000674949869294432,0.000184993216910396,0.000370525576188164,0,0.00271793124066831,1.65850460366797e-06,2.48632075434655e-05,0.000163041004077776,0,1.99721860241978e-06,0,0,0,0,0.000132836772093995,0,0,0,0,0,2.07466533108577e-05,0,0,3.5332916124838e-08,0,0,0,0.00768367640687264,1.42303170252612e-05
1961,4.92659305063268e-05,2.06795536142165e-06,0,0,0,1.14703803863508e-07,0.0032853387907058,0.000201587460451975,0.000807171526404429,0.000201927093152748,0.00039794026510745,0,0.00313284564790703,1.73751718829191e-06,3.35650784349471e-05,0.000177092237221619,0,1.92346041736394e-06,0,0,0,0,0.000154516725662604,0,0,0,0,0,2.55975941599533e-05,0,0,3.62422040206852e-08,0,0,0,0.00848680145386275,1.65622049297996e-05
1962,5.04389301141893e-05,2.13835595848138e-06,0,0,0,3.62827489248537e-07,0.00344263655494316,0.000209961208597869,0.000969983492000162,0.000221257040935797,0.000425952783204796,0,0.00360676672867511,1.81724117478103e-06,4.40074071796006e-05,0.000191180478465907,0,1.84338511111581e-06,0,0,0,0,0.000180842684320113,0,0,0,0,0,3.09904857512897e-05,0,0,0,0,0,0,0.00939671029310387,1.94651577735401e-05
1963,5.15868456841195e-05,2.20712476660863e-06,0,0,0,8.20182898180823e-07,0.0036052232238127,0.000218572517472113,0.00117026278983919,0.000243346762028796,0.000454559087044576,3.69096719474649e-08,0.00415198758612003,1.89953873782587e-06,5.64266225922749e-05,0.000205202936033314,0,1.76297723193669e-06,0,0,0,0,0.000213264165843364,0,0,0,0,0,3.69230676768661e-05,0,0,3.68105771269456e-08,0,0,0,0.010433741823607,2.29590119961059e-05
1964,5.27294927680683e-05,2.27505268787476e-06,0,0,0,1.50478409194855e-06,0.00377253863739083,0.00022759109617223,0.00141287198598586,0.000268507346487677,0.000483898805684008,1.795523170912e-07,0.00478201801873181,1.98667720373007e-06,7.08112927564949e-05,0.000218974036747725,0,1.67925555872077e-06,0,0,0,0,0.000252755919468792,0,0,0,0,0,4.34121800824893e-05,0,0,3.64395304859222e-08,0,0,0,0.0116162243307917,2.68035414022367e-05
1965,5.38839548423742e-05,2.34225608643664e-06,0,0,0,2.42447418847283e-06,0.00394295386550046,0.000237174498932951,0.00169954315202086,0.000297308422250209,0.000514320895325696,6.10226173640427e-07,0.00550553783276292,2.07488533669798e-06,8.84675259597644e-05,0.000232363484908867,0,1.59729971408862e-06,0,4.23525352922304e-08,0,0,0.000300440869779942,0,0,0,0,0,5.04376729301627e-05,0,0,3.63240882900887e-08,0,0,0,0.01295777859633,3.07121702048985e-05
1966,5.50638292191581e-05,2.40838526724377e-06,0,0,0,3.57566958014435e-06,0.00411442584773952,0.000247428329856336,0.0020313420728573,0.000330349837720189,0.000546189534148952,1.34060125592747e-06,0.00632939743010743,2.16397936629393e-06,0.000112414168378473,0.00024529611872298,0,1.53385774942666e-06,0,1.24432763907388e-07,0,0,0.000358091905063444,0,0,0,0,0,5.80047428093065e-05,0,0,3.49314371956865e-08,0,0,0,0.0144687785959642,3.46314043355974e-05
1967,5.63088167411747e-05,2.47678119654439e-06,0,3.7183196945333e-08,0,4.9512791838644e-06,0.0042851234455388,0.000258547365808264,0.00241083012905156,0.000368173482123837,0.000579525630309743,2.39544316230135e-06,0.0072619038494724,2.2560224931859e-06,0.000145510936191016,0.000257661598452525,0,1.52322953667398e-06,0,2.93171759329403e-07,0,0,0.000427980939990672,0,0,0,0,0,6.6100382836606e-05,0,0,3.55766829796379e-08,0,0,0,0.0161660068589598,3.87886737865643e-05
1968,5.76480104630626e-05,2.54858537061419e-06,0,4.90295206472117e-08,4.04085914169146e-08,6.54298343544468e-06,0.00445396477049595,0.000270757950409133,0.00284454689424262,0.000411398281073589,0.000614422230656222,3.86290377710162e-06,0.00831495103846273,2.35165398911896e-06,0.000188628565405133,0.000269440599931094,0,1.6839911328878e-06,0,5.8275129258462e-07,0,0,0.000512115866130582,0,0,0,0,0,7.47347327440011e-05,0,0,3.86442088198241e-08,0,0,0,0.018069608948887,4.34642551221809e-05
1969,5.91263331994799e-05,2.62759963642589e-06,0,1.01992943274251e-07,4.65069116942665e-08,8.33188122830183e-06,0.00462211524556211,0.000284241451143208,0.00334175968602723,0.000460893572994324,0.000650786735738338,5.85498649624585e-06,0.00949818420430607,2.44830642889382e-06,0.000240303215520728,0.000280527143184612,0,2.15940525129564e-06,3.95841185773055e-08,9.69756839268846e-07,0,0,0.000610126210739212,0,0,0,0,0,8.38951479057976e-05,0,0,3.73301829489888e-08,0,0,0,0.0201982771912935,4.85305809107263e-05
1970,6.08192737937806e-05,2.71572376376352e-06,0,1.67374447088587e-07,8.67776685690368e-08,1.03069186391689e-05,0.00478793139006148,0.000299354082188926,0.00391027884208321,0.000517636322544628,0.000688567260971025,8.48506446656688e-06,0.0108173809769161,2.54868422135594e-06,0.000298067573508327,0.000290951382402007,0,2.97678864320663e-06,7.68167183348372e-08,1.42893543469209e-06,0,1.39920160438204e-07,0.00072024442707171,0,0,0,0,0,9.3567665808375e-05,0,0,3.96093460134283e-08,0,0,0,0.022562405924385,5.37690167269652e-05
1971,6.27978652593783e-05,2.81307900759705e-06,3.57949842464455e-08,2.43646393013748e-07,1.03568541408293e-07,1.24492924569833e-05,0.00495149470734346,0.000316249578178412,0.00455431573664105,0.000582710089848016,0.00072782377716326,1.17398552829891e-05,0.0122713978222328,2.64853836392821e-06,0.000362545243243521,0.000300680378891005,0,4.07759638580156e-06,2.06551214063991e-07,1.95350014807928e-06,0,7.60144853560295e-07,0.000842090532915441,0,0,0,0,4.14534244424888e-08,0.000103771931193303,0,0,4.03380881506134e-08,0,0,0,0.0251671774076714,5.93456821685428e-05
1972,6.51525930960421e-05,2.92518977809853e-06,7.65114013978234e-08,3.41869499457545e-07,1.42794988274733e-07,1.47366070936774e-05,0.00511234612866669,0.000335120667631064,0.00527999198244625,0.000657267093904066,0.000768487402140454,1.55860335063749e-05,0.0138686908778344,2.75223362388706e-06,0.000439042954151101,0.000309856245627083,0,5.46795306531291e-06,5.34666150569434e-07,2.55415425484574e-06,0,2.05470915510164e-06,0.000977575674308362,0,0,0,0,1.13117190352756e-07,0.000114470291513058,0,0,3.95126210355755e-08,0,0,0,0.0280333753223262,6.54098636240944e-05
1973,6.79946617873103e-05,3.05669539861784e-06,1.49999902345883e-07,4.53799473827699e-07,1.87849267114856e-07,1.71501482786304e-05,0.00527074401315729,0.000356255495351828,0.00609967980348588,0.000742661619918834,0.000810746509882887,2.01251669171376e-05,0.0156239218528544,2.85845343645542e-06,0.00053287230100011,0.000318410564799413,0,7.28566227344991e-06,1.10973922202266e-06,3.24835205928182e-06,0,3.85143593239306e-06,0.00112804965788042,0,0,0,0,2.27325239103027e-07,0.000125656541076019,0,0,4.02440018006029e-08,0,0,0,0.0312008767057056,7.18724197017449e-05
1974,7.1454256150625e-05,3.21524297840517e-06,2.77634044961836e-07,5.83286551213458e-07,2.34422650264546e-07,1.96739141228404e-05,0.00542658946123756,0.0003800757400116,0.0070150301503299,0.000840533244729376,0.000854867472144212,2.54737975267518e-05,0.0175432423820939,2.96836702838215e-06,0.000643142325184702,0.000326341679134967,0,9.80960832703196e-06,1.95029313235455e-06,4.05204882030378e-06,0,5.87794501642479e-06,0.00129107852546076,0,0,0,0,3.83539328023418e-07,0.000137348259894544,3.6450656657333e-08,0,3.99115334261199e-08,4.34971432793833e-08,0,0,0.0346726457880371,7.86923419046961e-05
1975,7.55133851036376e-05,3.40424843812533e-06,4.43771471915958e-07,7.26387331214399e-07,2.92031440215004e-07,2.22809165634203e-05,0.00557959674095718,0.000406343695551123,0.00800247262928839,0.000952686667034544,0.000901121896285845,3.17970614878603e-05,0.0195847387199626,3.08142176670237e-06,0.000764538188249045,0.000333717798174135,0,1.33401876527854e-05,3.20685156080206e-06,4.99393788534708e-06,0,7.93516712845181e-06,0.00146611374916437,0,0,4.2249383002052e-08,0,5.66751969166137e-07,0.000149523148246999,4.26515087531757e-08,0,3.93895187821555e-08,5.18030169310089e-08,0,0,0.0383834418147603,8.60363169154132e-05
1976,7.99950377546951e-05,3.62363485334185e-06,6.44520713955069e-07,8.8505542996015e-07,3.50264878044566e-07,2.49431338158158e-05,0.005729497216277,0.00043427004486074,0.0090327867574422,0.0010819334007627,0.00094999010396507,3.93403131585959e-05,0.0216934036294754,3.19835328061474e-06,0.000899185604136186,0.000340629750176747,0,1.80952567037428e-05,5.34701795712984e-06,6.1275777535214e-06,0,9.99879744356183e-06,0.00165620439899022,0,0,2.3680025995427e-07,0,7.55164545712772e-07,0.000162170286735554,4.80273936406e-08,0,3.98500164138031e-08,8.8248887336338e-08,0,4.26283398859477e-08,0.0422546364860648,9.4068901978729e-05
1977,8.48601502972238e-05,3.87538046677678e-06,8.81101342509662e-07,1.05654737075908e-06,4.13220307529434e-07,2.76490034887691e-05,0.00587661283227844,0.000464030083409117,0.0100837650131971,0.00122574746749966,0.0010018592963875,4.82061722195344e-05,0.0238261245404243,3.31575556871343e-06,0.00105877266348024,0.000347089888556285,0,2.41859722788373e-05,8.82873462190614e-06,7.50237401617607e-06,0,1.20947368342466e-05,0.00186868318704257,0,0,7.05321870560429e-07,0,9.21039004447459e-07,0.000175288100793853,5.46997014823492e-08,0,4.02957383024351e-08,9.43449599175433e-08,0,1.57021016005562e-07,0.0462436338499254,0.000103092526643453
1978,9.01799797466411e-05,4.16767027717276e-06,1.14530720232569e-06,1.24110134591405e-06,4.87635409464176e-07,3.04009679777914e-05,0.00602103187643738,0.000496030059273116,0.0111264649991594,0.00137733846392839,0.00105631836766915,5.83539877230477e-05,0.0259507722431836,3.43582350290219e-06,0.00124574324413334,0.000353171558602337,0,3.1561742009571e-05,1.36823320610248e-05,9.10997000446994e-06,0,1.42880695384123e-05,0.00211384705901186,0,0,1.4836017987008e-06,0,1.05173564582166e-06,0.000189724753353579,8.50591616817624e-08,0,3.87990831836808e-08,9.66174740591634e-08,0,3.33808079488725e-07,0.0502956354724799,0.000114183753728011
1979,9.59545041298355e-05,4.51073942856602e-06,1.43657363316734e-06,1.43919216288082e-06,5.66492686633178e-07,3.32632220903783e-05,0.00616268713662506,0.000529857859990221,0.0121338064300272,0.00154387297822889,0.00111243703664855,6.96905633674771e-05,0.0280423030287101,3.56272882404375e-06,0.00144250334606698,0.000358824041504988,0,4.00518091609856e-05,1.95444264562953e-05,1.08938572184286e-05,0,1.68271555625379e-05,0.00238661142097019,0,0,2.50876736874833e-06,0,1.10409722800812e-06,0.000206844829694577,8.84825271342201e-08,0,3.96585711872682e-08,9.1213444161655e-08,0,5.38882179376552e-07,0.0543397825068938,0.000128481507583968
1980,0.000102191395802039,4.91426115102197e-06,1.75891968152682e-06,1.65927692530382e-06,6.54798857819828e-07,3.62564616034994e-05,0.00630208653114701,0.000565453784633961,0.0131001963427194,0.00174241579773522,0.00116934238446494,8.22502886094742e-05,0.0301189150679719,3.69226606312588e-06,0.00163028158625713,0.000364156031115972,0,4.95086109810415e-05,2.59404958777313e-05,1.27897532036553e-05,0,2.00772053698616e-05,0.00267150843009339,0,0,3.67021133193199e-06,0,1.00225023773573e-06,0.000226935418685717,9.03625837356874e-08,0,3.99439848272276e-08,6.90551744610216e-08,0,7.37934232265042e-07,0.058372627005643,0.000145565070438019
1981,0.00010886280887578,5.38390395054602e-06,2.1247019608845e-06,1.92254743075655e-06,7.68789647197868e-07,3.93855257609919e-05,0.00643560595678042,0.00060255314583407,0.0140463172133293,0.00198725994073737,0.00122662283920993,9.64553274931635e-05,0.0322068649285172,3.82297942670165e-06,0.00180195374678786,0.000369178013991189,0,5.9898784994531e-05,3.26996756792824e-05,1.47600664629141e-05,0,2.41577917015126e-05,0.00296249620465728,0,0,4.85053550972566e-06,0,7.87839446234144e-07,0.000249233900573879,9.13654630368399e-08,0,4.03375467009514e-08,4.91910190166782e-08,0,9.08720534455174e-07,0.062440254658249,0.000164328122048933
1982,0.0001157237791718,5.90266974219323e-06,2.53860424205876e-06,2.23479400024137e-06,9.23532312425568e-07,4.26782455217332e-05,0.00656414628513974,0.000640144246751821,0.0149789938925159,0.00227738215233454,0.00128341122060125,0.000112909932349966,0.0343129695855678,3.95814752300996e-06,0.00195808654798613,0.000373846241139847,0,7.15312772094751e-05,4.0056383942036e-05,1.6787848130226e-05,0,2.87433724254374e-05,0.00325982821946124,0,0,5.98913838047719e-06,0,6.88992390941256e-07,0.000272246364769908,9.18585200590285e-08,0,4.03692409412909e-08,5.13012433809268e-08,0,1.04535817583863e-06,0.0665436012517162,0.000184477488765201
1983,0.00012251071854557,6.43772421302696e-06,2.99730893057444e-06,2.58970570941539e-06,1.11621470492503e-06,4.61863953323741e-05,0.00669138599033828,0.00067774525325776,0.0159052123337787,0.00259827872763132,0.00133968895830841,0.000131701694784687,0.0364254979732599,4.09631019731424e-06,0.00210445023627861,0.000378292947851417,0,8.44896779942462e-05,4.84325966701179e-05,1.89294612060783e-05,0,3.32998536179453e-05,0.00356195383327545,0,0,7.09757110251989e-06,0,8.30791207140905e-07,0.000294372303132286,9.28236223104692e-08,0,4.01331874245292e-08,1.28628905450458e-07,0,1.15256957887095e-06,0.0706802779547027,0.000205793475906715
1984,0.00012942766089974,6.99276510121305e-06,3.50897270622489e-06,2.98430672998601e-06,1.35075003818229e-06,4.99619389167153e-05,0.0068174018330562,0.000715726873694499,0.0168824158036195,0.00295251684323699,0.0013969893207735,0.000152134745970694,0.0385238887333554,4.23731459150216e-06,0.00224644240230674,0.000382499156689032,0,9.79543922339091e-05,5.83950158322601e-05,2.12123244841992e-05,0,3.74105760825131e-05,0.0038679358240347,0,0,8.21102228156803e-06,0,1.06510730590461e-06,0.000315753470469314,9.39552358400583e-08,0,4.04217569565077e-08,1.91958293785735e-07,0,1.23818888233914e-06,0.0748941331347347,0.000228369511293155
1985,0.000136672758390215,7.57486118958292e-06,4.07537447235462e-06,3.418891907936e-06,1.64320095778178e-06,5.40433584209092e-05,0.00694425907726241,0.000753718515853276,0.0179348752408618,0.00335084264235323,0.00145709564860542,0.000174336721953285,0.0406716859630852,4.38555451496932e-06,0.00238227673989139,0.000386439489316369,0,0.000111484468808307,7.05785674546054e-05,2.34573209930725e-05,0,4.10097308212522e-05,0.00418211864084553,0,0,9.44012665304012e-06,8.44876570366712e-08,1.24633342320397e-06,0.000338168234299782,9.51441339734387e-08,0,4.09541892499014e-08,2.05482174126751e-07,0,1.30534326082761e-06,0.0792896635485617,0.000252781114331693
1986,0.000144199944346924,8.16793668248857e-06,4.67923833008546e-06,3.88418282968439e-06,2.01783296158521e-06,5.8460675547953e-05,0.00707232533733249,0.000790982655253977,0.0189978790525508,0.00379906131687694,0.00152027900782505,0.000199214033184058,0.0429388209796631,4.5355947809422e-06,0.00251103797211979,0.000390244625823471,0,0.00012601342543169,8.52713617214835e-05,2.55974319732211e-05,0,4.43869134929786e-05,0.00451040686482304,0,0,1.08883185351798e-05,3.26591727431347e-07,1.40536502347409e-06,0.000362558437121736,9.59492106254103e-08,0,4.03910878847885e-08,1.8633276832982e-07,0,1.35795595983234e-06,0.0838793823937184,0.000279086601847273
1987,0.000151985456918976,8.7621629781383e-06,5.31618060198166e-06,4.38031349516587e-06,2.50444763961055e-06,6.32257404212908e-05,0.00720090937868748,0.000828005276204064,0.020080456004518,0.00431194617663693,0.00158559085503606,0.000225968398301227,0.0453898400129822,4.69298802212599e-06,0.00264029702024525,0.000393821620798333,0,0.000142286387004389,0.00010198902155661,2.78296792200589e-05,0,4.82498857153062e-05,0.00486078573104428,0,0,1.25087660863086e-05,7.84139899438796e-07,1.56248229080429e-06,0.000388842007406508,9.65402334815601e-08,0,4.06244972470073e-08,1.87944179682743e-07,4.62273917938587e-08,1.40681411309882e-06,0.0887805596243338,0.000307202597631541
1988,0.00016013669859485,9.375947411385e-06,5.98392372845769e-06,4.91673682594869e-06,3.11138761468396e-06,6.815400702428e-05,0.00732882011717895,0.000865480896027769,0.0212057879899098,0.00488772409071906,0.00165097976589847,0.000253588643766008,0.0479961144585292,4.8534898542267e-06,0.00277722389610138,0.000397238526696584,0,0.00016009603718946,0.000119695038554706,3.03265129532335e-05,0,5.35414903557844e-05,0.00523989276526697,0,0,1.43924938173782e-05,1.46766926282809e-06,1.61242824485965e-06,0.000417478215684094,9.72451092468853e-08,0,4.04488401393676e-08,1.99984496199308e-07,1.19106660622978e-07,1.48110861693086e-06,0.0939811455390434,0.000337482869180932
1989,0.000168649619654526,1.0032134278817e-05,6.67087855400621e-06,5.49523197155915e-06,3.8372556162607e-06,7.29438099183338e-05,0.00745462236702344,0.00090355776928192,0.0223239918682015,0.00549983025961746,0.00171417979335849,0.000282523115306782,0.0505575359646429,5.01703586967949e-06,0.00291625041335765,0.000400533415595267,0,0.000179448819877945,0.00013738892535713,3.30779813651129e-05,1.72983743611422e-07,6.1607939725964e-05,0.00564365069153287,0,4.32265112735074e-08,1.66337707180215e-05,2.3897081496522e-06,1.54486885597806e-06,0.000448440683069973,9.79314933648078e-08,0,4.00110733241399e-08,2.27351502617577e-07,2.06129694477467e-07,1.63891897481769e-06,0.0992036123062644,0.000370260617938508
1990,0.000177441454518371,1.071608311366e-05,7.3758235897277e-06,6.09903277386146e-06,4.6803447135517e-06,7.74136813506727e-05,0.00756387326258107,0.000942073043453673,0.0233485336485301,0.00612393433154185,0.00177271992391561,0.000312364292894597,0.0529287905613831,5.18627845029922e-06,0.00306162533445289,0.000403658667837029,0,0.000200387250345791,0.000154590524592137,3.59081502337691e-05,7.70546552458814e-07,7.61146491510435e-05,0.00606084677619475,2.64383540457358e-07,4.93869251987734e-07,1.90841608095594e-05,3.56811093908445e-06,1.50844020912982e-06,0.000480931890691732,9.92027692157765e-08,0,4.16330014529521e-08,2.96114317544472e-07,3.29089323263785e-07,1.90392170164086e-06,0.104175782190894,0.000405755696916588
1991,0.000186361220071363,1.1419144281734e-05,8.09955683614636e-06,6.72841993884286e-06,5.65688220884144e-06,8.15375742831172e-05,0.00764528813862363,0.000980682572650926,0.0242414815188807,0.006730405554062,0.00182427527853334,0.000342264677238831,0.0551234021566047,5.35765855838196e-06,0.0032040151844318,0.000406680208027248,0,0.000221832648567392,0.000171352678609703,3.87678439885073e-05,2.11071346390729e-06,0.000102201697231366,0.00648265027378769,1.29592880811891e-06,2.0613121685654e-06,2.15271998217944e-05,5.01784829566992e-06,1.6284216054058e-06,0.000514567149284136,1.00643791102316e-07,0,4.81351447027812e-08,3.61423992736339e-07,4.87896094158788e-07,2.24657163987415e-06,0.108796382082531,0.000443691033092007
1992,0.000195244568980575,1.21512689914247e-05,8.83934882016921e-06,7.39486728830408e-06,6.77780103764097e-06,8.5273479334547e-05,0.00770414945784479,0.00101865977517923,0.0250100455797298,0.00727647990492319,0.00187020426231901,0.00037223834185082,0.0571523151587355,5.53734209965882e-06,0.00329583424806068,0.000409592021383325,0,0.000242478838259796,0.000187783008162927,4.16303738637773e-05,6.8309331887594e-06,0.000141448897255426,0.00689729141381952,3.70261443049353e-06,5.29032588745391e-06,2.39046825156652e-05,6.75221478680083e-06,1.92647022768315e-06,0.000549429287077347,1.20590610880975e-07,0,1.3274509785451e-07,3.51478939024388e-07,6.82895720887952e-07,2.64642380098463e-06,0.113008487230852,0.000483638931539794
